,,,,,,,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revenue Share %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spend Share %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Growth Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Growth Spends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Gap (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CQGR% (Revenue),,,,12-M CMGR%,6-M CMGR%,YoY Quarter Growth,2024 - 2025,,,2025 - 2026,,,2026 - 2027,,,2027 - 2028,,,Seasonal Influence,,,,,,,,,,,
NETRAA SERUM TOTAL,Pure Netraa,TOTAL,TOTAL,Mansi,Existing,Jan'24,Yes,896493,867964,871546,890768,940536,782697,913089,803257,752625,836392,934091,960586,1086721,1044680,946201,1041647,1093028,894972,1018178,928696,880421,970667,1255149,1038693,1130085,1117380,867309,886447,404270,438631,476355,504937,535231,599460,689378,744528,805578,861971,934375,442517,465528,493459,523066,551834,579426,637369,713854,763822,817291,866328,918307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115382,123832,134479,143101,148907,164461,177521,192855,203992,222229,236585,111705,114425,122003,131025,138233,143263,157590,176344,188688,201896,214009,226850,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,-4%,-9%,10%,5%,-18%,14%,-9%,-5%,10%,29%,-17%,9%,-1%,-22%,2%,-54%,8%,9%,6%,6%,12%,15%,8%,8%,7%,8%,-53%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,7%,9%,6%,4%,10%,8%,9%,6%,9%,6%,-53%,2%,7%,7%,6%,4%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,-1%,0%,0%,-2%,-2%,-7%,1%,-2%,2%,-2%,0%,-3%,1%,1%,0%,-1%,0%,0%,0%,0%,0%,0%,-9%,-8%,1%,,-1%,-2%,1%,10891643,12310409,12166219,12236225,10407708,10407703,7881161,10407696,10407703,7772801,10407704,10407703,3975848,2827295,3264509,2247465,993962,942432,1088170,1123733,-5%,15%,3%,13%
FACE GEL TOTAL,Active Gel,D2C,D2C,Tanu,Existing,Jan'24,No,435494,461319,564178,605794,1446363,1392626,1682829,1560506,1462215,1391520,1454320,1393922,840978,1522240,1900922,2689136,2459375,1610413,962688,868817,748968,720777,677849,620319,543381,555071,760351,1013925,612344,664393,721531,764823,810712,907998,1044198,1127734,1220208,1305622,1415294,1675692,1762828,1868598,1980713,2089653,2194135,2413549,2703175,2892397,3094865,3280557,3477390,255145,337598,440190,494275,723753,829781,567902,970299,919576,532396,558734,661228,758568,497066,1091943,1393396,1475602,943941,1008518,72059,330330,192864,162054,112903,134782,225186,274371,576473,150896,160381,174174,184373,186460,202938,209528,231809,235664,258627,268641,255837,247609,268431,291154,307167,300674,330742,351910,376543,402901,427075,452700,83%,77%,77%,84%,89%,88%,89%,89%,85%,84%,85%,84%,76%,82%,81%,100%,100%,76%,66%,70%,60%,66%,65%,66%,61%,51%,61%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,87%,92%,93%,95%,92%,93%,90%,98%,97%,96%,94%,88%,96%,81%,87%,96%,96%,95%,95%,63%,88%,70%,73%,72%,75%,86%,88%,96%,60%,60%,60%,59%,58%,57%,55%,56%,53%,54%,52%,44%,41%,42%,43%,43%,40%,40%,38%,38%,38%,38%,38%,1.7,1.4,1.3,1.2,2.0,1.7,3.0,1.6,1.6,2.6,2.6,2.1,1.1,3.1,1.7,1.9,1.7,1.7,1.0,12.1,2.3,3.7,4.2,5.5,4.0,2.5,2.8,1.8,-40%,81%,25%,41%,-9%,-35%,-40%,-10%,-14%,-4%,-6%,-8%,-12%,2%,37%,33%,-40%,8%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,6%,5%,10%,12%,7%,7%,6%,6%,15%,-34%,120%,28%,6%,-36%,7%,-93%,358%,-42%,-16%,-30%,19%,67%,22%,110%,-74%,6%,9%,6%,1%,9%,3%,11%,2%,10%,4%,-5%,-3%,8%,8%,5%,-2%,10%,6%,7%,7%,6%,6%,-115%,95%,-14%,14%,-2%,47%,-83%,372%,-38%,-10%,-22%,32%,65%,-15%,77%,-34%,-2%,0%,0%,-5%,-3%,-12%,3%,-7%,3%,-5%,-23%,-8%,2%,2%,0%,-7%,0%,-6%,0%,0%,0%,0%,38%,-47%,-20%,73%,-7%,1%,-56%,16654235,17056558,,13217145,9124212,,11608782,15764496,,29433552,39411248,,8659846,2580473,2018945,1098452,2164962,860158,672982,549226,-60%,-22%,-18%,-75%
FACE GEL TOTAL,Active Gel,NYKAA,ECOMMERCE,Tanu,Existing,Jan'24,No,25409,35561,36503,42361,55227,47246,63066,64263,66018,74530,95963,75146,72225,98756,100340,,,,,120643,117504,,159208,141436,119057,160037,165036,159317,96217,104396,113373,120176,127387,142673,164074,177200,191730,205151,222384,263300,276991,293611,311228,328345,344762,379238,424747,454479,486293,515471,546399,,,,,,,,,,,,,,,,4452,10434,4123,17300,7299,5552,6434,17724,12003,12266,11905,10350,7623,10162,11475,12462,12312,13341,15637,18411,20369,22590,21249,24280,23122,24865,26956,29238,30846,28307,31138,34874,37315,39927,42323,44862,5%,6%,5%,6%,3%,3%,3%,4%,4%,5%,6%,5%,7%,5%,4%,0%,0%,0%,0%,10%,9%,0%,15%,15%,13%,15%,13%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,,,,,,,,,,,,,,,,0%,1%,0%,2%,6%,1%,2%,8%,8%,7%,5%,3%,1%,4%,4%,4%,4%,4%,4%,5%,5%,5%,4%,5%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,,,,,,,,,,,,,,,,16.5,21.2,,9.0,11.8,9.7,13.4,15.9,20.9,-4%,37%,2%,,,,,,-3%,,,-11%,-16%,34%,3%,-3%,-40%,9%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,,,,,134%,-60%,320%,-58%,-24%,16%,175%,-32%,2%,-3%,-13%,-26%,33%,13%,9%,-1%,8%,17%,18%,11%,11%,-6%,14%,-5%,8%,8%,8%,5%,-8%,10%,12%,7%,7%,6%,6%,,,,,,,,-21%,,,-21%,18%,-37%,-16%,-23%,73%,4%,0%,-7%,2%,5%,3%,3%,3%,-13%,6%,-23%,2%,2%,2%,0%,-13%,0%,0%,0%,0%,0%,0%,,,,9%,4%,,64%,855141,1085285,,982921,1980432,,1824078,2477060,,4624864,6192652,,100340,238147,300644,279094,25085,79382,100215,139547,216%,26%,39%,456%
FACE GEL TOTAL,Active Gel,AMAZON,ECOMMERCE,Tanu,Existing,Jan'24,No,51815,82717,119263,59752,100806,102906,105994,102110,137654,123966,102028,135629,143534,182207,263997,,,,,189681,304318,160418,142336,127050,158351,313643,235291,180374,108934,118194,128358,136060,144223,161530,185759,200620,217071,232266,251776,298100,313601,332418,352363,371742,390330,429362,480886,514548,550567,583601,618616,13000,23000,30000,27000,59856,62105,64000,22548,28561,21143,25291,21859,29750,112089,103395,50286,49804,34310,29031,27833,31927,70388,35956,30637,33752,24017,26239,16295,63514,67741,73567,78180,84712,93085,104117,107509,119233,130851,138830,132213,142179,142279,154323,162811,179290,197219,238741,255452,273334,289734,307118,10%,14%,16%,8%,6%,7%,6%,6%,8%,8%,6%,8%,13%,10%,11%,0%,0%,0%,0%,15%,24%,15%,14%,13%,18%,29%,19%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,4%,6%,6%,5%,8%,7%,10%,2%,3%,4%,4%,3%,4%,18%,8%,3%,3%,3%,3%,24%,9%,26%,16%,20%,19%,9%,8%,3%,25%,25%,25%,25%,26%,26%,27%,26%,27%,27%,27%,23%,24%,22%,23%,23%,24%,24%,26%,26%,26%,26%,26%,4.0,3.6,4.0,2.2,1.7,1.7,1.7,4.5,4.8,5.9,4.0,6.2,4.8,1.6,2.6,,,,,6.8,9.5,2.3,4.0,4.1,4.7,13.1,9.0,11.1,6%,27%,45%,,,,,,60%,-47%,-11%,-11%,25%,98%,-25%,-23%,-40%,9%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,36%,277%,-8%,-51%,-1%,-31%,-15%,-4%,15%,120%,-49%,-15%,10%,-29%,9%,-38%,290%,7%,9%,6%,8%,10%,12%,3%,11%,10%,6%,-5%,8%,0%,8%,6%,10%,10%,21%,7%,7%,6%,6%,250%,-53%,,,,,,-46%,168%,-38%,-4%,-14%,-127%,34%,-15%,329%,-2%,0%,0%,2%,-2%,-3%,-5%,3%,3%,-2%,-23%,2%,-6%,2%,0%,5%,0%,9%,0%,0%,0%,0%,,,,-52%,-1%,7%,20%,1560583,2358950,,1631088,2823492,,2065165,2804452,,5236134,7011136,,263997,493999,429804,471994,65999,164666,143268,235997,149%,-13%,65%,258%
FACE GEL TOTAL,Active Gel,FLIPKART,ECOMMERCE,Tanu,Existing,Jan'24,No,8092,12222,7016,9841,9658,13054,9476,13054,12951,20151,13235,9226,21428,20151,25183,,,,,13059,23707,19650,14534,28445,19145,30453,44774,31349,18933,20542,22309,23647,25066,28074,32285,34868,37727,40368,43758,51810,54504,57774,61241,64609,67839,74623,83578,89429,95688,101429,107516,25000,6000,3000,0,0,0,0,,40,0,0,0,0,,,,585,1660,3424,,,,6,,,,2103,2530,13587,15344,16664,18816,20388,23896,28135,31127,34522,37885,43287,41224,44332,48059,52128,54995,57533,63287,70881,75843,81152,86021,91182,2%,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,1%,1%,0%,0%,0%,0%,1%,2%,2%,1%,3%,2%,3%,4%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,9%,2%,1%,,,,,,0%,,,,,,,,0%,0%,0%,,,,0%,,,,1%,0%,5%,6%,6%,6%,6%,7%,7%,7%,8%,8%,8%,7%,7%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,0.3,2.0,2.3,,,,,,323.8,,,,,,,,,,,,,,2422.3,,,,21.3,12.4,132%,-6%,25%,,,,,,82%,-17%,-26%,96%,-33%,59%,47%,-30%,-40%,8%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,,,,,,184%,106%,,,,,,,,,20%,437%,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-5%,8%,8%,8%,5%,5%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,50%,477%,4%,0%,7%,2%,5%,3%,3%,3%,3%,6%,-23%,2%,2%,2%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,5%,15%,41%,177408,267048,,193767,537288,,358926,487412,,910040,1218532,,25183,36766,62629,49598,6296,12255,20876,24799,95%,70%,19%,294%
FACE GEL TOTAL,Active Gel,MYNTRA,ECOMMERCE,Tanu,Existing,Jan'25,No,,,,,,,,,,,,,21525,,,,,,,33755,26663,23293,16874,16471,19367,15822,13789,24228,14632,15876,17241,18276,19372,21697,24951,26947,29157,31198,33819,40041,42123,44650,47330,49933,52429,57672,64593,69115,73952,78390,83093,,,,,,0,0,0,0,3397,11786,9098,0,3888,5992,6928,5812,7042,8391,7827,6407,5725,5499,567,33,71,42,8,1844,2083,2262,2554,2767,3243,3819,4225,4686,5142,5875,5595,6017,6523,7075,7464,8220,9042,10127,10836,11594,12290,13027,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,3%,2%,2%,2%,2%,2%,1%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,,,,,,1%,2%,1%,,1%,0%,0%,0%,1%,1%,7%,2%,2%,2%,0%,0%,0%,0%,0%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,4.3,4.2,4.1,3.1,29.0,586.9,222.8,328.3,3028.5,,,,,,,,,-21%,-13%,-28%,-2%,18%,-18%,-13%,76%,-40%,9%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,,,54%,16%,-16%,21%,19%,-7%,-18%,-11%,-4%,-90%,-94%,115%,-41%,-81%,22950%,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-5%,8%,8%,8%,5%,10%,10%,12%,7%,7%,6%,6%,,,,,,,,3%,2%,24%,-87%,-112%,133%,-28%,-157%,22990%,4%,0%,7%,2%,5%,3%,3%,3%,3%,6%,-23%,2%,2%,2%,0%,5%,0%,0%,0%,0%,0%,0%,,,,-96%,,-8%,128%,21525,86100,,166034,165468,,277394,376696,,703321,941740,,,60418,56638,35189,,20139,18879,17595,,-6%,-7%,
FACE GEL TOTAL,Active Gel,BLINKIT,QUICK COMMERCE,Tanu,Existing,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100220,107774,111444,120878,127527,140435,154478,173016,185127,198086,209971,222569,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,18%,17%,18%,18%,19%,19%,19%,19%,19%,19%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,3%,8%,6%,10%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Active Gel,INSTAMART,QUICK COMMERCE,Tanu,Existing,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Active Gel,ZEPTO,QUICK COMMERCE,Tanu,Existing,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Active Gel,RETAIL,Retail,Tanu,Existing,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Active Gel,Bigbasket,QUICK COMMERCE,Tanu,Existing,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACE GEL TOTAL,Active Gel,Firstcry,ECOMMERCE,Tanu,Existing,Jan'25,No,,,,,,,,,,,,,5419,,,13381,9397,4878,10926,14533,20244,18691,25376,7777,18294,14413,22258,23529,14210,15418,16744,17749,18814,21071,24232,26170,28316,30298,32843,38886,40908,43362,45964,48492,50917,56008,62729,67120,71819,76128,80696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4932,5570,6049,6830,7401,8674,10213,11299,12531,13752,15713,14221,15293,16579,8991,9486,10446,11490,12869,13770,14734,15618,16555,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,2%,2%,2%,1%,2%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,2%,3%,3%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30%,-48%,124%,33%,39%,-8%,36%,-69%,135%,-21%,54%,6%,-40%,9%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-9%,8%,8%,-46%,6%,10%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,4%,0%,7%,2%,5%,3%,3%,3%,3%,6%,-28%,2%,2%,-52%,0%,5%,0%,0%,0%,0%,0%,0%,-5%,23%,-16%,,,3%,914%,5419,21675,,180168,267097,,269394,365828,,683029,914572,,27656,45703,51844,32707,6914,15234,17281,16353,120%,13%,-5%,137%
FACE GEL TOTAL,Active Gel,OTHERS,OTHERS,Tanu,Existing,Jan'24,No,5172,9018,7193,7667,12731,20850,21642,17229,33806,38839,37115,38159,,37587,43041,,,492765,476287,4206,1815,142091,13662,3181,8082,7717,10661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61139,,,51412,,,,,,,,,,1,,,1,4932,5570,6049,6830,7401,8674,10213,11299,12531,13752,15713,14221,15293,16579,17982,18971,20891,22981,25738,27540,29468,31236,33110,1%,2%,1%,1%,1%,1%,1%,1%,2%,2%,2%,2%,0%,2%,2%,0%,0%,23%,33%,0%,0%,13%,1%,0%,1%,1%,1%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,4%,,,,,,,,,,0%,,,0%,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,2%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,,,,,,,,,,,,0.6,,,0.8,,,,,,,,,,8082.0,,,,,,15%,,,,-3%,-99%,-57%,7729%,-90%,-77%,154%,-5%,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493100%,13%,9%,13%,8%,17%,18%,11%,11%,10%,14%,-9%,8%,8%,8%,5%,10%,10%,12%,7%,7%,6%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-92%,,-11%,-35%,-67%,308666,322512,,1160467,127931,,,,,,,,535806,482308,158934,15799,133951,160769,52978,7900,20%,-67%,-85%,-94%
FACE GEL TOTAL,Active Gel,TOTAL,TOTAL,Tanu,Existing,Jan'24,No,525982,600837,734153,725415,1624785,1576682,1883007,1757162,1712644,1649006,1702661,1652082,1105108,1860941,2333483,2702517,2468772,2108056,1449901,1244694,1243219,1084920,1049839,944679,885677,1097156,1252160,1432722,865270,938819,1019556,1080731,1145574,1283043,1475499,1593539,1724209,1844903,1999874,2367829,2490955,2640413,2798839,2952774,3100412,3410452,3819708,4087088,4373184,4635576,4913710,293145,366598,473190,521275,783609,891886,631902,992847,948177,556936,595811,753324,788318,613043,1252742,1455062,1542237,991076,1066664,115018,374216,275411,221239,156110,180834,261179,313105,602930,249867,268164,291227,309895,322470,356147,384436,417637,441757,481258,512339,586653,603362,636850,681769,719267,745796,820377,918156,982426,1051196,1114268,1181123,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1.8,1.6,1.6,1.4,2.1,1.8,3.0,1.8,1.8,3.0,2.9,2.2,1.4,3.0,1.9,1.9,1.6,2.1,1.4,10.8,3.3,3.9,4.7,6.1,4.9,4.2,4.0,2.4,-33%,68%,25%,16%,-9%,-15%,-31%,-14%,0%,-13%,-3%,-10%,-6%,24%,14%,14%,-40%,9%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,5%,-22%,104%,16%,6%,-36%,8%,-89%,225%,-26%,-20%,-29%,16%,44%,20%,93%,-59%,7%,9%,6%,4%,10%,8%,9%,6%,9%,6%,15%,3%,6%,7%,6%,4%,10%,12%,7%,7%,6%,6%,-91%,79%,0%,15%,-21%,39%,-75%,225%,-14%,-16%,-19%,22%,21%,6%,78%,-19%,-1%,0%,0%,-2%,-2%,-7%,1%,-2%,2%,-2%,-4%,-2%,0%,1%,0%,-1%,0%,0%,0%,0%,0%,0%,38%,-32%,-19%,48%,-5%,2%,-39%,19582976,21198129,,17531590,15025920,,16403739,22275944,,41590940,55689880,,9612828,3937814,3079438,1982833,2403207,1312605,1026479,991417,-45%,-22%,-3%,-59%
FACE GEL TOTAL,Aloe Vera Gel,D2C,D2C,Tanu,Existing,Jan'24,No,389451,433181,526688,531230,559552,388307,404135,384117,296985,292461,312561,241105,408130,377916,620187,926473,674073,463754,539077,548829,493694,481096,421800,390747,314909,285675,420026,453531,273903,297185,322743,342107,362634,406150,467072,504438,545802,584008,633065,749541,788517,835828,885978,934706,981442,1079586,1209136,1293776,1384340,1467401,1555445,,,,,,,,,,,,,,,,,,,,52323,70761,76077,101754,54902,62755,80786,116568,77506,,,,,,,,,,,,,,,,,,,,,,,,80%,80%,81%,82%,79%,78%,79%,80%,73%,74%,75%,72%,78%,73%,71%,99%,98%,65%,68%,62%,57%,60%,48%,55%,51%,35%,53%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,48%,0%,0%,0%,0%,0%,0%,,,,,0%,0%,,0%,0%,0%,0%,0%,0%,24%,37%,35%,48%,40%,37%,40%,72%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,7.0,6.3,4.1,7.1,5.0,3.5,3.6,5.9,69%,-7%,64%,49%,-27%,-31%,16%,2%,-10%,-3%,-12%,-7%,-19%,-9%,47%,8%,-40%,9%,9%,6%,6%,12%,15%,8%,8%,7%,8%,18%,5%,6%,6%,5%,5%,10%,12%,7%,7%,6%,6%,,,,,,,,,35%,8%,34%,-46%,14%,29%,44%,-34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45%,10%,46%,-39%,34%,38%,-3%,-41%,,,,,,,,,,,,,,,,,,,,,,,,7%,-27%,-15%,1%,-3%,-2%,-27%,4816683,5624930,,5960153,5040312,,5192638,7051500,,13165696,17628744,,2684486,1581600,1293643,600584,671122,527200,431214,300292,-21%,-18%,-30%,-55%
